Q_diff,Q_router,Q_oracle
28,32,4
28,32,4
28,32,4
28,32,4
29,33,4
29,33,4
29,32,3
29,32,3
29,32,3
29,32,3
30,33,3
30,33,3
30,33,3
31,34,3
31,34,3
31,34,3
31,34,3
31,34,3
31,34,3
31,34,3
31,33,2
30,33,3
30,33,3
30,33,3
30,33,3
30,33,3
30,33,3
30,33,3
31,34,3
31,33,2
31,34,3
32,35,3
32,35,3
32,35,3
33,36,3
34,36,2
33,35,2
32,35,3
33,36,3
33,36,3
33,35,2
32,35,3
32,35,3
32,35,3
32,35,3
32,35,3
32,34,2
31,34,3
31,34,3
31,34,3
31,34,3
31,33,2
31,34,3
31,33,2
31,34,3
31,33,2
31,33,2
30,33,3
30,33,3
30,34,4
30,34,4
30,34,4
30,34,4
30,33,3
29,33,4
29,32,3
28,31,3
28,32,4
28,32,4
28,31,3
28,31,3
28,30,2
27,30,3
27,30,3
27,29,2
26,29,3
26,29,3
26,29,3
26,28,2
25,28,3
25,28,3
25,27,2
24,27,3
24,26,2
24,26,2
24,26,2
25,27,2
26,28,2
26,28,2
26,28,2
26,27,1
25,27,2
26,28,2
26,28,2
26,28,2
26,27,1
25,27,2
25,27,2
25,27,2
26,28,2
26,28,2
26,27,1
25,26,1
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,26,2
24,25,1
24,26,2
25,27,2
26,28,2
26,29,3
26,29,3
26,29,3
27,29,2
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,29,3
26,28,2
26,28,2
26,29,3
26,29,3
26,29,3
26,29,3
26,29,3
26,29,3
26,28,2
25,27,2
25,27,2
25,26,1
25,27,2
25,26,1
25,27,2
25,27,2
25,27,2
25,26,1
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
25,27,2
26,28,2
26,28,2
27,29,2
27,28,1
26,28,2
26,28,2
26,28,2
27,29,2
27,29,2
28,30,2
28,30,2
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
27,27,0
27,27,0
26,27,1
27,28,1
27,29,2
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
27,28,1
27,27,0
27,27,0
26,27,1
27,28,1
27,28,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
28,29,1
29,29,0
29,30,1
30,30,0
29,29,0
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
30,31,1
30,31,1
30,31,1
31,32,1
31,31,0
31,32,1
31,32,1
31,32,1
31,31,0
31,32,1
31,32,1
31,32,1
31,31,0
31,32,1
31,32,1
31,31,0
30,31,1
30,31,1
30,31,1
30,30,0
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
29,29,0
28,28,0
27,28,1
27,28,1
27,27,0
27,28,1
27,28,1
27,28,1
27,27,0
27,27,0
27,28,1
27,28,1
27,28,1
28,28,0
27,28,1
27,28,1
27,29,2
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
28,28,0
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,27,0
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
26,26,0
26,26,0
26,26,0
26,27,1
26,27,1
26,27,1
26,27,1
26,26,0
25,26,1
25,26,1
25,26,1
25,25,0
24,24,0
24,25,1
24,24,0
24,24,0
23,24,1
24,25,1
24,24,0
24,25,1
24,25,1
24,25,1
24,24,0
23,24,1
23,24,1
23,23,0
23,23,0
23,24,1
23,23,0
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
24,25,1
24,25,1
24,25,1
24,25,1
25,26,1
25,25,0
24,25,1
24,25,1
24,26,2
24,26,2
24,25,1
24,25,1
24,25,1
24,25,1
24,24,0
24,25,1
24,25,1
24,24,0
23,23,0
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,24,1
23,25,2
23,25,2
23,25,2
23,24,1
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
23,25,2
24,26,2
24,25,1
24,26,2
24,26,2
24,25,1
24,26,2
25,27,2
25,27,2
25,27,2
26,28,2
26,28,2
26,28,2
26,28,2
26,28,2
26,27,1
26,28,2
26,28,2
26,28,2
26,28,2
26,27,1
26,27,1
25,27,2
26,28,2
26,28,2
26,28,2
26,28,2
26,28,2
26,27,1
26,28,2
26,28,2
26,28,2
26,27,1
26,28,2
26,28,2
26,28,2
26,28,2
26,28,2
27,29,2
27,29,2
27,29,2
27,29,2
27,29,2
27,29,2
27,28,1
26,28,2
26,27,1
26,27,1
26,26,0
26,27,1
26,27,1
26,27,1
26,26,0
26,27,1
26,27,1
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,27,0
27,27,0
26,27,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
27,28,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
27,28,1
27,28,1
27,27,0
26,27,1
26,27,1
27,28,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,28,0
27,28,1
27,28,1
27,27,0
27,28,1
27,28,1
27,28,1
27,27,0
27,28,1
27,27,0
27,28,1
28,29,1
28,29,1
28,29,1
28,30,2
28,30,2
29,31,2
29,31,2
29,31,2
29,31,2
29,30,1
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
29,31,2
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,29,0
28,29,1
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
30,31,1
31,31,0
30,30,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
29,30,1
29,29,0
29,30,1
29,30,1
30,31,1
30,31,1
31,31,0
30,31,1
30,31,1
30,30,0
30,31,1
30,30,0
29,30,1
29,30,1
29,29,0
28,28,0
27,28,1
27,27,0
27,28,1
27,27,0
26,27,1
26,26,0
26,27,1
26,27,1
26,27,1
26,27,1
26,27,1
27,28,1
27,27,0
27,28,1
28,29,1
29,29,0
29,30,1
29,30,1
30,31,1
30,31,1
30,30,0
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
30,30,0
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
31,32,1
31,32,1
32,33,1
33,34,1
33,33,0
32,33,1
32,32,0
32,33,1
32,33,1
32,32,0
31,31,0
30,31,1
30,31,1
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
30,31,1
31,31,0
31,32,1
31,32,1
31,31,0
30,30,0
30,31,1
30,31,1
30,30,0
30,31,1
31,32,1
31,31,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,32,3
29,32,3
29,32,3
29,31,2
30,31,1
29,31,2
30,32,2
30,32,2
30,31,1
30,32,2
30,32,2
30,31,1
29,31,2
29,31,2
29,31,2
29,30,1
29,30,1
28,30,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,31,2
29,30,1
29,30,1
29,31,2
29,31,2
29,31,2
29,30,1
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,30,2
29,30,1
29,31,2
29,31,2
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
30,30,0
29,30,1
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,30,1
29,30,1
30,31,1
30,30,0
30,30,0
30,31,1
31,32,1
31,32,1
31,32,1
31,32,1
31,31,0
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,31,1
30,30,0
29,29,0
28,29,1
28,28,0
28,29,1
28,28,0
28,29,1
28,29,1
28,28,0
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
28,29,1
29,30,1
29,30,1
29,30,1
29,29,0
29,30,1
29,30,1
29,31,2
29,30,1
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
28,30,2
28,29,1
28,30,2
28,30,2
28,30,2
28,29,1
27,29,2
27,29,2
27,29,2
27,28,1
26,28,2
26,28,2
27,29,2
27,28,1
27,29,2
27,28,1
27,28,1
27,29,2
27,29,2
27,29,2
27,29,2
27,29,2
27,29,2
27,28,1
27,29,2
27,28,1
27,29,2
27,28,1
27,28,1
26,28,2
26,28,2
26,28,2
26,28,2
26,29,3
26,29,3
26,28,2
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,28,2
26,28,2
26,29,3
26,28,2
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,29,3
26,28,2
26,29,3
26,29,3
26,29,3
26,29,3
26,29,3
26,28,2
26,29,3
26,28,2
26,29,3
26,29,3
27,30,3
27,30,3
27,30,3
27,29,2
27,30,3
27,30,3
27,30,3
27,30,3
27,30,3
27,30,3
27,29,2
27,30,3
28,31,3
28,31,3
29,32,3
29,32,3
29,32,3
30,33,3
30,33,3
30,32,2
30,33,3
30,33,3
30,33,3
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,33,2
31,32,1
31,33,2
31,33,2
31,33,2
31,33,2
31,32,1
31,33,2
31,32,1
30,31,1
30,32,2
30,32,2
30,31,1
30,31,1
31,31,0
30,31,1
30,31,1
30,30,0
30,31,1
30,31,1
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
30,32,2
31,32,1
31,32,1
32,33,1
33,33,0
33,34,1
34,35,1
35,36,1
35,36,1
35,36,1
35,36,1
36,37,1
36,37,1
36,37,1
36,37,1
36,37,1
36,36,0
36,37,1
36,37,1
36,37,1
37,38,1
37,38,1
37,39,2
37,39,2
37,39,2
37,39,2
37,39,2
37,39,2
37,39,2
37,38,1
37,39,2
37,38,1
37,38,1
37,38,1
37,39,2
37,38,1
37,39,2
38,40,2
38,40,2
38,40,2
38,39,1
38,40,2
38,40,2
38,40,2
38,40,2
38,39,1
38,40,2
38,40,2
38,40,2
38,40,2
38,39,1
38,39,1
38,38,0
38,38,0
37,38,1
37,37,0
37,38,1
37,37,0
37,38,1
37,37,0
37,38,1
37,38,1
37,37,0
37,38,1
37,38,1
37,37,0
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
37,37,0
37,38,1
37,38,1
37,37,0
37,38,1
37,38,1
37,38,1
37,38,1
38,39,1
38,38,0
37,37,0
36,37,1
37,38,1
37,38,1
37,38,1
37,38,1
37,38,1
38,39,1
38,39,1
38,39,1
38,39,1
38,38,0
38,39,1
38,38,0
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,39,1
38,40,2
39,41,2
40,42,2
40,42,2
41,43,2
41,43,2
41,43,2
41,42,1
40,42,2
40,42,2
40,42,2
41,43,2
41,43,2
41,43,2
40,43,3
41,43,2
41,44,3
41,43,2
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
41,44,3
41,44,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,44,2
42,45,3
42,45,3
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,45,2
42,45,3
42,45,3
42,44,2
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
43,46,3
43,46,3
44,47,3
45,48,3
45,47,2
45,48,3
45,48,3
45,47,2
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,47,2
44,47,3
44,47,3
44,47,3
44,47,3
44,48,4
45,49,4
45,48,3
46,49,3
46,48,2
45,48,3
46,49,3
46,49,3
46,49,3
46,49,3
47,50,3
47,50,3
48,51,3
48,51,3
48,51,3
48,51,3
48,51,3
49,52,3
49,52,3
49,52,3
49,51,2
48,51,3
48,51,3
48,51,3
48,50,2
48,51,3
48,50,2
48,51,3
48,51,3
48,51,3
48,50,2
47,49,2
46,49,3
46,49,3
46,48,2
45,47,2
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,48,3
45,47,2
45,47,2
44,47,3
44,47,3
44,48,4
44,47,3
44,47,3
44,47,3
44,47,3
44,47,3
44,46,2
44,47,3
45,48,3
45,48,3
45,48,3
45,49,4
45,49,4
45,49,4
45,49,4
45,49,4
46,50,4
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
46,49,3
47,49,2
46,48,2
45,48,3
45,48,3
45,47,2
45,48,3
45,47,2
45,46,1
44,45,1
44,46,2
43,46,3
43,45,2
43,45,2
43,44,1
43,45,2
43,45,2
43,44,1
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,43,1
42,44,2
42,43,1
41,43,2
41,42,1
41,43,2
41,43,2
41,42,1
41,43,2
41,43,2
41,42,1
41,43,2
41,42,1
40,42,2
40,42,2
40,42,2
40,41,1
40,42,2
40,42,2
40,41,1
40,42,2
40,42,2
41,43,2
41,43,2
41,43,2
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,42,1
40,42,2
40,42,2
40,41,1
40,42,2
40,42,2
40,42,2
40,41,1
39,41,2
39,40,1
39,40,1
40,41,1
41,41,0
41,41,0
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,43,2
41,42,1
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
42,44,2
42,44,2
42,43,1
42,44,2
42,43,1
42,44,2
42,44,2
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
43,45,2
44,46,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,47,2
45,46,1
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,45,1
43,45,2
43,45,2
43,45,2
43,44,1
42,44,2
42,44,2
42,43,1
41,43,2
41,43,2
41,42,1
40,42,2
41,43,2
41,42,1
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
42,44,2
42,44,2
42,43,1
41,43,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
41,43,2
42,44,2
42,44,2
42,44,2
42,43,1
41,43,2
41,43,2
41,42,1
40,42,2
40,43,3
40,43,3
40,42,2
40,41,1
40,42,2
40,41,1
39,41,2
39,41,2
39,41,2
39,41,2
40,42,2
40,42,2
41,43,2
41,43,2
41,44,3
41,44,3
41,44,3
41,44,3
42,45,3
42,45,3
42,45,3
42,45,3
42,44,2
42,45,3
42,45,3
42,45,3
42,44,2
42,45,3
43,46,3
43,46,3
43,46,3
44,47,3
44,47,3
44,47,3
44,46,2
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,46,3
43,45,2
43,46,3
43,45,2
43,46,3
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,44,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
43,45,2
43,44,1
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,44,1
42,43,1
42,43,1
43,44,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
45,45,0
45,45,0
44,45,1
44,44,0
44,44,0
43,44,1
43,43,0
43,44,1
44,45,1
44,45,1
45,46,1
46,47,1
46,47,1
46,47,1
46,46,0
46,46,0
46,47,1
46,47,1
46,47,1
46,47,1
46,47,1
46,47,1
46,47,1
46,46,0
45,45,0
45,45,0
44,44,0
44,45,1
44,44,0
44,44,0
44,44,0
44,45,1
44,45,1
44,44,0
44,45,1
44,45,1
44,45,1
44,44,0
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,44,0
44,45,1
44,45,1
44,45,1
44,44,0
43,44,1
43,44,1
43,44,1
43,43,0
42,43,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,45,2
44,46,2
44,46,2
44,46,2
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
43,45,2
44,46,2
44,46,2
45,47,2
46,48,2
47,49,2
47,49,2
47,48,1
47,49,2
48,50,2
48,49,1
47,48,1
46,47,1
46,48,2
46,48,2
46,47,1
46,48,2
46,47,1
45,47,2
45,48,3
45,47,2
45,47,2
45,47,2
45,46,1
44,46,2
44,46,2
44,46,2
44,46,2
45,46,1
44,46,2
44,46,2
44,46,2
44,45,1
44,45,1
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,44,1
42,44,2
42,44,2
42,44,2
43,44,1
43,44,1
42,43,1
42,43,1
42,42,0
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,42,1
41,41,0
40,41,1
40,41,1
40,41,1
40,41,1
40,40,0
39,39,0
39,40,1
39,40,1
39,40,1
39,40,1
39,40,1
39,40,1
39,40,1
39,40,1
39,39,0
39,40,1
39,39,0
39,40,1
40,41,1
40,41,1
40,41,1
40,41,1
40,41,1
40,41,1
40,41,1
39,41,2
39,40,1
40,41,1
40,41,1
40,41,1
41,41,0
40,41,1
40,41,1
40,41,1
40,41,1
40,41,1
41,42,1
42,43,1
43,44,1
43,44,1
43,44,1
43,44,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
43,45,2
43,44,1
43,45,2
43,45,2
44,46,2
44,46,2
44,45,1
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,45,1
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
44,46,2
44,45,1
44,46,2
44,45,1
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,44,1
43,45,2
43,44,1
43,45,2
43,45,2
43,46,3
43,45,2
43,45,2
43,44,1
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,43,1
42,44,2
42,44,2
42,43,1
41,43,2
41,42,1
41,43,2
41,43,2
41,43,2
41,43,2
41,42,1
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,43,2
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
42,45,3
42,45,3
42,45,3
42,45,3
42,45,3
42,44,2
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
42,44,2
41,43,2
40,43,3
40,43,3
40,43,3
40,42,2
39,42,3
39,42,3
39,41,2
39,42,3
39,42,3
39,42,3
39,42,3
39,42,3
39,42,3
39,42,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
40,43,3
41,44,3
41,44,3
41,44,3
41,44,3
42,44,2
41,44,3
41,44,3
41,44,3
41,44,3
41,44,3
42,45,3
42,45,3
42,45,3
42,44,2
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
42,44,2
42,43,1
42,43,1
42,44,2
42,44,2
42,43,1
42,44,2
42,44,2
43,45,2
44,46,2
45,46,1
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,46,2
44,45,1
44,46,2
44,45,1
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
43,45,2
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,45,1
44,44,0
44,45,1
44,45,1
44,45,1
44,45,1
44,44,0
43,43,0
42,43,1
42,42,0
42,43,1
42,43,1
42,43,1
42,42,0
42,43,1
42,43,1
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,44,2
42,43,1
43,44,1
43,43,0
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
43,44,1
44,44,0
44,45,1
45,46,1
45,46,1
45,45,0
44,45,1
44,45,1
44,45,1
44,45,1
